SAMPLE,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00242514,-3.918074643,-4.421315778,-4.595493863,-4.412692536,-3.601387133,-3.859404078,-2.965406644,-4.054862245
NCGC00163411,-3.932396401,-3.637857129,-3.746115122,-4.377309948,-3.987678432,-2.643262388,-3.111297319,-2.410602265
NCGC00390248,-3.599997628,-3.673452267,-3.60962107,-3.800912366,-3.029134645,-2.428125092,-2.525359161,-2.903186155
NCGC00167831,-3.877850341,-3.444081238,-2.711048541,-2.859855733,-3.283730209,-2.367567569,-3.113275508,-3.837141895
NCGC00499576,-4.131605752,-3.353565387,-3.193302927,-3.450380098,-2.293960744,-3.318986464,-2.906526402,-2.272900723
NCGC00378821,-3.665807735,-3.901840216,-2.402533035,-0.037113048,-3.321282089,-2.137748742,-3.561154575,-5.138169371
NCGC00185994,-3.353336285,-4.317073303,-3.714550441,-0.941515496,-3.745675388,-1.780162679,-2.655378134,-2.320412407
NCGC00510347,-2.895142612,-2.83288709,-2.866504965,-3.114770107,-2.7997293,-1.819436424,-3.416940079,-2.757087213
NCGC00182868,-3.197978749,-3.459230185,-1.427983712,-0.292749254,-2.871720357,-2.421127227,-3.588089984,-4.747722131
NCGC00344630,-3.447667085,-3.174647154,-2.853966253,-3.784375701,-2.031190028,-1.799588688,-2.172842805,-2.189822396
NCGC00179555,-2.853209934,-2.867778646,-3.059433385,-3.015302918,-2.5327325,-2.254281877,-1.996117468,-2.31988326
NCGC00496839,-2.981627028,-2.492757933,-2.345897885,-2.814381954,-3.668568317,-1.894720741,-2.924754724,-1.733126611
NCGC00095986,-2.105153545,-3.456152332,-2.416037148,-2.617706076,-1.906419904,-2.196805526,-2.755907833,-3.388194535
NCGC00347952,-2.805173698,-2.615093916,-3.091343091,-1.298696915,-2.320436507,-2.862887753,-1.014428641,-3.792743008
NCGC00387037,-2.872974847,-2.521843128,-3.036859317,-2.393376555,-2.568266382,-1.729327925,-2.01002538,-2.52084746
NCGC00091835,-2.51121194,-3.92499683,-2.673020667,-1.422584166,-2.420441499,-1.90350238,-2.768882548,-1.970708382
NCGC00249611,-2.671742797,-2.99424254,-2.712478923,-2.817878394,-2.135200267,-1.020424413,-2.083764348,-2.311501784
