SAMPLE_ID,MPO_Score,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC average,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00346732,NaN,0.527946508,0.54205478,0.583287388,0.32315446,0.044298402,0.089997973,-0.04470071,0.244748555,0.597602782
NCGC00346930,NaN,0.347154942,0.670637244,0.726645226,0.570285202,0.471721365,0.755420183,0.512749028,0.487173039,0.590780589
NCGC00181152,NaN,1.019499909,0.841060355,0.629686583,0.755732088,0.481076661,0.723387428,0.56211851,0.823866764,0.96516049
NCGC00390475,6.0,-1.977896495,-2.995404721,-2.776241294,-1.98726044,-1.764347509,-1.760003341,-1.269225587,-1.333004869,-2.021959699
NCGC00025212,6.0,-0.955535169,-0.890722787,-1.382650985,-1.010992866,-1.503444053,-0.26603936,-1.296286585,-0.80395184,-0.98931215
NCGC00015225,6.0,0.35031394,0.510335065,-1.069952705,-0.110383789,-0.08033468,-0.034108431,-0.196014192,-0.066465016,-0.296844294
NCGC00016526,6.0,0.870338137,0.590058621,0.28358365,0.559240426,0.955012962,0.252206236,0.62474587,0.599722062,0.298255868
NCGC00015191,6.0,0.368103714,0.978422355,1.838552512,0.703776821,0.687277816,0.775990074,-0.594030863,0.780384881,0.795514074
NCGC00159330,6.0,1.073238943,0.814608196,0.781705322,0.883393674,0.276200729,1.147638652,0.633627713,1.159749581,1.180380254
NCGC00016418,6.0,1.181857793,0.89714831,0.363837646,1.075486857,1.223685121,1.186509659,1.010157615,1.394127366,1.346571351
NCGC00242514,6.0,-3.918074643,-4.421315778,-4.595493863,-3.978579615,-4.412692536,-3.601387133,-3.859404078,-2.965406644,-4.054862245
NCGC00378635,5.9,-1.526800556,-1.281609765,-0.675507986,-1.111349022,-2.41700395,-0.841302528,-0.091629647,-1.958556699,-0.098381048
NCGC00390770,5.9,-0.110972027,0.732361328,0.094313977,0.2620846,0.280251994,0.396457381,-0.146516659,0.885783085,-0.035002282
NCGC00015818,5.8,0.959402177,0.980886269,0.494582446,0.87729889,0.846945398,0.914684071,0.968416289,1.015906164,0.837568306
NCGC00356119,5.8,0.378919577,0.65369555,0.121864995,0.520902868,0.607725557,0.539296581,0.636864532,0.732382499,0.496473654
NCGC00390815,5.8,-2.289978378,-2.144684954,-2.086586905,-2.110893351,-2.585476097,-2.173919786,-1.816766057,-1.315609075,-2.474125557
NCGC00346701,5.8,-1.954217689,-2.861628683,-1.954614133,-1.706182328,-0.823249049,-1.855582594,-0.869600767,-1.769049559,-1.561516153
NCGC00161408,5.8,-2.240482448,-1.32465875,-1.264467601,-0.758151581,-2.008425675,-1.090574138,0.497127358,0.761290586,0.604978023
NCGC00160519,5.8,-0.608660055,-1.32826786,-0.774513821,-0.570120498,-0.632912772,-0.280933185,-0.008024068,-0.60361692,-0.324035303
NCGC00159546,5.8,-0.184079512,-0.798146362,-0.686048644,-0.496997512,-0.228399444,-0.458645935,-1.133074723,0.246921229,-0.734506707
NCGC00159418,5.8,-0.972258661,-1.035764352,-0.36736309,-0.434777151,-0.902183252,-0.102331269,0.246120179,-0.114750243,-0.229686519
NCGC00015439,5.8,-0.045780852,-0.541239072,-0.494280985,-0.364497652,-0.869113379,-0.131334333,0.364945086,-1.132985614,-0.066192063
NCGC00018117,5.8,-0.017980272,-0.717209594,-0.459612468,-0.3579507,-0.819421911,-0.286933956,0.253530894,-0.529019683,-0.286958613
NCGC00160664,5.8,0.038741705,-0.043620294,-0.223973673,-0.228196807,0.62766803,-0.684531043,-0.786301955,-0.195050776,-0.558506452
NCGC00263531,5.8,-0.024673819,-0.286216274,0.117255448,-0.083089086,-0.337063799,-0.03560025,0.117385486,-0.055903401,-0.159896081
NCGC00186030,5.8,0.224585137,0.096079801,-0.346053221,0.159425093,0.682634768,-0.135760121,0.066417124,0.21456968,0.472927574
NCGC00179435,5.8,-0.087610942,-0.232169748,0.095382352,0.212851237,-0.208182105,0.570710406,1.014997272,0.395862999,0.153819659
NCGC00370768,5.8,0.085081974,0.150807398,0.109034329,0.248885694,-0.016186715,0.359187724,0.875377619,0.436222835,-0.00843961
NCGC00508867,5.8,-0.255191456,0.40268033,0.420811524,0.403258543,0.434431791,0.295413403,0.841816339,0.436830999,0.649275417
NCGC00025172,5.8,0.873806744,0.387339969,0.433057544,0.666737824,0.602864935,0.506644764,1.084771423,0.985844664,0.459572548
NCGC00015209,5.8,0.494968022,0.373907783,1.217962828,0.737906603,0.302231758,0.80251879,0.850210815,0.907170306,0.954282519
NCGC00015898,5.8,0.539926126,0.633182877,1.2355781,0.764032015,0.493065785,0.758079619,0.109492922,1.180311214,1.16261948
NCGC00261977,5.8,0.830461669,0.919272538,0.590386197,0.806480742,0.787333188,0.924411814,0.347353576,0.806241731,1.246385224
NCGC00016268,5.8,1.045378242,1.035980549,0.053013574,0.835694676,0.685707019,0.825384587,1.083216036,0.995285948,0.961591454
NCGC00166207,5.8,0.872725064,1.292624665,0.230660882,0.870281893,1.226891364,0.956626216,0.400058954,0.932632107,1.05003589
NCGC00024631,5.8,1.29638199,0.93983233,0.509099118,0.91759577,0.952002368,1.089053293,0.455735089,0.995400407,1.103261563
NCGC00015100,5.8,1.168596636,1.099889115,0.975012044,0.946599901,0.613746288,0.727512012,0.810605517,0.983754294,1.193683302
NCGC00095089,5.8,0.952308236,1.17262702,0.840425738,1.048815407,1.285665103,0.976348667,1.05207597,1.056194867,1.054877658
NCGC00186006,5.8,1.362730495,1.025080391,0.756509596,1.067893155,1.147410053,1.17057132,0.698236353,1.214681922,1.167925112
NCGC00167462,5.8,1.011456298,1.29805319,1.04584349,1.070247689,1.291320281,1.200643127,1.250597654,0.877863817,0.586203653
NCGC00163411,5.7,-3.932396401,-3.637857129,-3.746115122,-3.480814876,-4.377309948,-3.987678432,-2.643262388,-3.111297319,-2.410602265
NCGC00162344,5.7,0.904600499,0.913198596,0.803940463,0.881893799,0.155560609,1.241919218,1.159356734,0.968069793,0.908504478
NCGC00016759,5.7,0.949957201,0.822956311,0.973123783,0.855140036,0.084882487,0.973414385,0.651233988,1.224655411,1.160896723
NCGC00522603,5.7,0.403371749,0.689885181,0.465229946,0.619650505,0.831763141,0.909425404,0.320394572,0.708922815,0.628211235
NCGC00510350,5.7,-0.303890404,-0.133824867,-0.368479097,-0.024506774,-0.448066803,0.47716598,0.511882963,-0.402079765,0.471237804
NCGC00475727,5.7,0.429297174,0.378411926,0.865683777,0.447292937,0.443772237,0.638459168,-0.743294604,0.769173877,0.796839944
NCGC00390693,5.7,-1.630296127,-0.861186506,-2.050648326,-0.862893567,-0.985246925,0.259970844,-0.290688726,-1.339957349,-0.005095425
NCGC00522633,5.7,-2.090202894,-1.764627589,-1.947093496,-0.959526693,-0.682862816,0.156970474,0.755047043,-0.534742074,-1.568702192
NCGC00015598,5.7,0.104376517,0.030541903,-1.336467961,-0.636095255,0.187086666,-0.084525286,-3.663973243,-0.07371724,-0.252083398
NCGC00263135,5.7,-0.083580489,-0.366365393,-0.111079839,0.049072602,0.078778692,-0.0142263,0.531505744,0.344335968,0.01321243
NCGC00253646,5.6,0.536784042,0.647422391,0.075865484,0.645984683,0.424411422,0.588548362,0.901569811,1.022352589,0.970923362
NCGC00387089,5.6,0.373146808,0.797780374,0.895030129,0.526820115,0.545576134,0.521067747,0.072220715,0.460609666,0.54912935
NCGC00164613,5.6,0.63605841,1.032608554,1.091595338,0.992818264,0.950776178,1.238169949,0.923051958,1.093121351,0.977164372
NCGC00018218,5.6,1.105736359,0.939001816,0.849212509,0.864219587,0.884609177,0.695444393,0.196888824,1.098846764,1.144016851
NCGC00346932,5.6,1.311953713,0.885786925,0.339252601,0.786046258,0.504508297,0.981246603,0.676256921,1.027070273,0.562294729
NCGC00253737,5.6,-0.32217861,-2.823555346,-1.487187515,-0.43483257,-0.200613343,-0.249847847,0.706469614,-0.479260234,1.377512724
NCGC00390223,5.6,0.908933106,0.642834649,0.572357,0.703002608,0.406399743,1.029111251,0.050180158,0.993618856,1.020586103
NCGC00378390,5.6,0.655405033,0.426603759,1.25179984,0.892266462,0.625709734,0.922358114,0.970157497,1.487873842,0.798223874
NCGC00346502,5.6,-0.262757179,-0.556246614,-0.706308449,-0.184836999,0.026482979,-0.204409536,0.556122341,-0.286610695,-0.044968841
NCGC00687530,5.6,0.00914969,-0.102978118,-0.315534425,0.00843523,0.194522582,0.260000261,0.447493024,-0.573957298,0.148786125
NCGC00687448,5.6,1.229150853,0.929147444,0.793127712,1.02274326,1.283011627,0.948520108,0.930691699,1.059848151,1.008448485
NCGC00522513,5.6,-1.926059311,-1.506181395,-2.546524185,-1.437046057,-1.529198488,-0.860016345,-0.385660458,-1.791101882,-0.951626389
NCGC00386882,5.6,-0.201461543,-0.221707642,-0.404076909,-0.250211103,0.313175162,-0.721264791,0.277241201,0.162024402,-1.205618704
NCGC00843007,5.6,-0.605712877,-0.361939681,-0.880279624,-0.228403987,0.185546252,-0.391351878,0.513628005,-0.074901852,-0.212220237
NCGC00183862,5.6,1.186135432,1.169340886,0.22797775,1.09211535,0.958358001,1.212493829,1.259912195,1.165181719,1.557522989
NCGC00486892,5.6,0.816127116,0.644618022,1.310061085,0.92950842,0.738334872,1.124711896,0.961210975,1.206794631,0.634208767
NCGC00384197,5.5,-0.494947399,-0.259109576,-0.665011702,-0.202512442,-0.225121906,-0.199584802,0.455480899,-0.006853627,-0.224951425
NCGC00094872,5.5,-0.318072324,0.361618282,0.127478245,0.2583698,0.273850015,0.49287966,-0.075584419,0.659183556,0.545605388
NCGC00263909,5.5,1.266887736,0.985083165,0.887328267,0.830068073,0.536314197,0.987201376,0.489216779,0.744272924,0.744240142
NCGC00015754,5.5,1.273446237,0.776480117,0.047762201,0.868654765,1.181617643,1.002256387,0.460312263,1.196150339,1.011212929
NCGC00387306,5.5,0.211936338,-0.121941307,-0.150187925,0.261967433,0.153922636,0.367576446,1.08093745,0.61453493,-0.061039105
NCGC00016973,5.5,0.070258252,-0.411775838,-0.655408999,-0.100874815,-0.597373345,0.122921576,0.481755839,0.0552733,0.127350692
NCGC00262195,5.5,0.301613024,0.555735627,1.104581748,0.621147467,0.317793612,0.607836208,0.792811588,0.906471269,0.382336663
NCGC00510502,5.5,-0.529492991,-0.234726654,0.111703118,-0.316952594,-0.22349633,-0.577146797,-0.695261568,-0.047799825,-0.339399702
NCGC00344630,5.5,-3.447667085,-3.174647154,-2.853966253,-2.681762514,-3.784375701,-2.031190028,-1.799588688,-2.172842805,-2.189822396
NCGC00347952,5.5,-2.805173698,-2.615093916,-3.091343091,-2.475100441,-1.298696915,-2.320436507,-2.862887753,-1.014428641,-3.792743008
